PSR_ID,PSR_Ref,PSR_Amount,PSR_Invoice,PSR_Counterparty,PSR_Date,PSR_Currency,PSR_Direction,CAMT_NtryId,CAMT_EndToEndId,CAMT_Amount,CAMT_Counterparty,CAMT_Remittance,CAMT_Date,CAMT_ValueDate,CAMT_BookingDate,CAMT_Currency,CAMT_Direction,Scenario,Expected_Match_Type
PSR-000001,PMT-REF-000001,32151.63,INV-13278,Sterling Partners,2025-05-14,USD,CR,NTRY-000001,PMT-REF-000001,32151.63,Sterling Partners,PMT-REF-000001 INV-13278,2025-05-14,2025-05-14,2025-05-14,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000002,PMT-REF-000002,7407.13,INV-23434,Vista Industries,2025-02-17,GBP,CR,NTRY-000002,PMT-REF-000002,7407.13,Vista Industries,PMT-REF-000002 INV-23434,2025-02-17,2025-02-17,2025-02-17,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000003,PMT-REF-000003,21385.13,INV-13905,Global Logistics,2025-04-28,USD,CR,NTRY-000003,PMT-REF-000003,21385.13,Global Logistics,PMT-REF-000003 INV-13905,2025-04-28,2025-04-28,2025-04-28,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000004,PMT-REF-000004,25515.09,INV-13478,Vista Industries,2025-04-18,GBP,CR,NTRY-000004,PMT-REF-000004,25515.09,Vista Industries,PMT-REF-000004 INV-13478,2025-04-18,2025-04-18,2025-04-18,GBP,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000005,PMT-REF-000005,32669.28,INV-81426,Pinnacle Group,2025-05-01,EUR,CR,NTRY-000005,PMT-REF-000005,32669.28,Pinnacle Group,PMT-REF-000005 INV-81426,2025-05-01,2025-05-01,2025-05-01,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000006,PMT-REF-000006,29668.65,INV-10851,Sunrise Financial,2025-08-21,EUR,CR,NTRY-000006,PMT-REF-000006,29668.65,Sunrise Financial,PMT-REF-000006 INV-10851,2025-08-21,2025-08-21,2025-08-21,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000007,PMT-REF-000007,14254.63,INV-38221,Apex Distribution,2025-02-25,USD,CR,NTRY-000007,PMT-REF-000007,14254.63,Apex Distribution,PMT-REF-000007 INV-38221,2025-02-25,2025-02-25,2025-02-25,USD,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000008,PMT-REF-000008,19306.4,INV-57052,Coastal Ventures,2025-12-02,EUR,CR,NTRY-000008,PMT-REF-000008,19306.4,Coastal Ventures,PMT-REF-000008 INV-57052,2025-12-02,2025-12-02,2025-12-02,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000009,PMT-REF-000009,40452.85,INV-70217,Vista Industries,2025-03-08,EUR,CR,NTRY-000009,PMT-REF-000009,40452.85,Vista Industries,PMT-REF-000009 INV-70217,2025-03-08,2025-03-08,2025-03-08,EUR,CR,Direct Match - E2E ID,DIRECT_P1
PSR-000010,PMT-REF-000010,4400.61,INV-48427,Nexus Partners,2025-07-18,GBP,CR,NTRY-000010,PMT-REF-000010,4400.61,Nexus Partners,PMT-REF-000010 INV-48427,2025-07-18,2025-07-18,2025-07-18,GBP,CR,Direct Match - E2E ID,DIRECT_P1
