PSR_ID,PSR_Ref,PSR_Amount,PSR_Invoice,PSR_Counterparty,PSR_Date,CAMT_NtryId,CAMT_EndToEndId,CAMT_Amount,CAMT_Counterparty,CAMT_Remittance,CAMT_Date,Scenario,Expected_Match_Type
TX-2027-0001,PMT-REF-001,1010,INV-2027-0001,Standard Corp 1,2026-06-10,NTRY-001,TX-2027-0001,1010,Standard Corp 1,PMT-REF-001 INV-2027-0001,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0002,PMT-REF-002,1020,INV-2027-0002,Standard Corp 2,2026-06-10,NTRY-002,TX-2027-0002,1020,Standard Corp 2,PMT-REF-002 INV-2027-0002,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0003,PMT-REF-003,1030,INV-2027-0003,Standard Corp 3,2026-06-10,NTRY-003,TX-2027-0003,1030,Standard Corp 3,PMT-REF-003 INV-2027-0003,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0004,PMT-REF-004,1040,INV-2027-0004,Standard Corp 4,2026-06-10,NTRY-004,TX-2027-0004,1040,Standard Corp 4,PMT-REF-004 INV-2027-0004,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0005,PMT-REF-005,1050,INV-2027-0005,Standard Corp 5,2026-06-10,NTRY-005,TX-2027-0005,1050,Standard Corp 5,PMT-REF-005 INV-2027-0005,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0006,PMT-REF-006,1060,INV-2027-0006,Standard Corp 6,2026-06-10,NTRY-006,TX-2027-0006,1060,Standard Corp 6,PMT-REF-006 INV-2027-0006,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0007,PMT-REF-007,1070,INV-2027-0007,Standard Corp 7,2026-06-10,NTRY-007,TX-2027-0007,1070,Standard Corp 7,PMT-REF-007 INV-2027-0007,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0008,PMT-REF-008,1080,INV-2027-0008,Standard Corp 8,2026-06-10,NTRY-008,TX-2027-0008,1080,Standard Corp 8,PMT-REF-008 INV-2027-0008,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0009,PMT-REF-009,1090,INV-2027-0009,Standard Corp 9,2026-06-10,NTRY-009,TX-2027-0009,1090,Standard Corp 9,PMT-REF-009 INV-2027-0009,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0010,PMT-REF-010,1100,INV-2027-0010,Standard Corp 10,2026-06-10,NTRY-010,TX-2027-0010,1100,Standard Corp 10,PMT-REF-010 INV-2027-0010,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0011,PMT-REF-011,1110,INV-2027-0011,Standard Corp 11,2026-06-10,NTRY-011,TX-2027-0011,1110,Standard Corp 11,PMT-REF-011 INV-2027-0011,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0012,PMT-REF-012,1120,INV-2027-0012,Standard Corp 12,2026-06-10,NTRY-012,TX-2027-0012,1120,Standard Corp 12,PMT-REF-012 INV-2027-0012,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0013,PMT-REF-013,1130,INV-2027-0013,Standard Corp 13,2026-06-10,NTRY-013,TX-2027-0013,1130,Standard Corp 13,PMT-REF-013 INV-2027-0013,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0014,PMT-REF-014,1140,INV-2027-0014,Standard Corp 14,2026-06-10,NTRY-014,TX-2027-0014,1140,Standard Corp 14,PMT-REF-014 INV-2027-0014,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0015,PMT-REF-015,1150,INV-2027-0015,Standard Corp 15,2026-06-10,NTRY-015,TX-2027-0015,1150,Standard Corp 15,PMT-REF-015 INV-2027-0015,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0016,PMT-REF-016,1160,INV-2027-0016,Standard Corp 16,2026-06-10,NTRY-016,TX-2027-0016,1160,Standard Corp 16,PMT-REF-016 INV-2027-0016,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0017,PMT-REF-017,1170,INV-2027-0017,Standard Corp 17,2026-06-10,NTRY-017,TX-2027-0017,1170,Standard Corp 17,PMT-REF-017 INV-2027-0017,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0018,PMT-REF-018,1180,INV-2027-0018,Standard Corp 18,2026-06-10,NTRY-018,TX-2027-0018,1180,Standard Corp 18,PMT-REF-018 INV-2027-0018,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
TX-2027-0019,PMT-REF-019,1190,INV-2027-0019,Standard Corp 19,2026-06-10,NTRY-019,TX-2027-0019,1190,Standard Corp 19,PMT-REF-019 INV-2027-0019,2026-06-10,Direct Match - Exact ETE ID,Auto-Close
