Match_Key,PSR_ID,CAMT_ID,Reference,Invoice,Counterparty,Internal_Amount,Bank_Amount,Variance,Currency,Value_Date,Booking_Date,Reconciliation_Status,Reason_Code,Match_Type,Match_Confidence,Aging_Days,Aging_Bucket,Rule_Applied,Exception_Flag
NTRY-1,TX-2026-0001,TX-2026-0001,PMT-REF-20001,INV-2026-8001,Party_1,1001,1001.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,91,3,3-5 Days,RULE_ID_MATCH,N
NTRY-2,TX-2026-0002,TX-2026-0002,PMT-REF-20002,INV-2026-8002,Party_2,1002,1002.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,100,5,3-5 Days,RULE_ID_MATCH,N
NTRY-3,TX-2026-0003,TX-2026-0003,PMT-REF-20003,INV-2026-8003,Party_3,1003,1003.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,97,9,6+ Days,RULE_ID_MATCH,N
NTRY-4,TX-2026-0004,TX-2026-0004,PMT-REF-20004,INV-2026-8004,Party_4,1004,1004.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,90,6,6+ Days,RULE_ID_MATCH,N
NTRY-5,TX-2026-0005,TX-2026-0005,PMT-REF-20005,INV-2026-8005,Party_5,1005,1005.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,90,2,0-2 Days,RULE_ID_MATCH,N
NTRY-6,TX-2026-0006,TX-2026-0006,PMT-REF-20006,INV-2026-8006,Party_6,1006,1034.0,-28,EUR,2026-06-07,2026-06-07,Partially Matched (Manual Review),AMOUNT_MISMATCH,PARTIAL,84,7,6+ Days,RULE_AMT_REF,Y
NTRY-7,TX-2026-0007,TX-2026-0007,PMT-REF-20007,INV-2026-8007,Party_7,1007,1007.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,91,9,6+ Days,RULE_ID_MATCH,N
NTRY-8,TX-2026-0008,TX-2026-0008,PMT-REF-20008,INV-2026-8008,Party_8,1008,1008.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,95,2,0-2 Days,RULE_ID_MATCH,N
NTRY-9,TX-2026-0009,TX-2026-0009,PMT-REF-20009,INV-2026-8009,Party_9,1009,1009.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,95,3,3-5 Days,RULE_ID_MATCH,N
NTRY-10,TX-2026-0010,TX-2026-0010,PMT-REF-20010,INV-2026-8010,Party_10,1010,1010.0,0,EUR,2026-06-07,2026-06-07,Matched & Settled (Auto-Close),EXACT_MATCH,1_TO_1,96,3,3-5 Days,RULE_ID_MATCH,N
